Time/Date,G12000,M12000,G11301,G11300,G11401,G11400,P11400,G10100,G10101,G10102,P10103,P10104,F10100,G11001,T11001,T11002
7/17/2016 20:33,1,60,2,1,0,1,38,0,8.39,0,1862,41,77,8700,139,138
7/17/2016 20:33,1,60,2,1,0,1,40,0,8.39,0,1915,43,77,10641,139,138
7/17/2016 20:33,1,60,2,1,0,1,35,0,8.39,0,1882,42,73,10641,139,138
7/17/2016 20:33,1,60,2,1,0,1,32,0,8.39,0,1919,35,73,11725,139,138
7/17/2016 20:33,1,60,2,1,0,1,31,0,8.39,0,1954,37,70,11725,139,138
7/17/2016 20:33,1,60,2,1,0,1,29,0,8.39,0,1938,30,69,11660,139,138
7/17/2016 20:33,1,60,2,1,0,1,28,0,8.39,0,1950,31,70,11660,139,138
7/17/2016 20:33,1,60,2,1,0,1,31,0,8.39,0,1894,37,74,11660,139,138
7/17/2016 20:33,1,60,2,1,0,1,32,0,8.39,0,1898,35,74,10645,139,138
7/17/2016 20:33,1,60,2,1,0,1,34,0,8.39,0,1866,39,76,10645,139,138
7/17/2016 20:33,1,60,2,1,0,1,36,0,8.39,0,1857,43,76,8158,139,138
7/17/2016 20:33,1,60,2,1,0,1,36,0,8.39,0,1880,42,76,8158,139,138
7/17/2016 20:33,1,60,2,1,0,1,36,0,8.39,0,1879,39,74,5339,139,138
7/17/2016 20:33,1,60,2,1,0,1,37,0,8.39,0,1949,41,75,5339,139,138
7/17/2016 20:33,1,60,2,1,0,1,31,0,8.39,0,1965,33,71,5509,139,138
7/17/2016 20:33,1,60,2,1,0,1,32,0,8.39,0,2003,34,69,5425,139,138
7/17/2016 20:33,1,60,2,1,0,1,29,0,8.39,0,1969,33,70,5425,139,138
7/17/2016 20:33,1,60,2,1,0,1,28,0,8.39,0,1939,32,70,6404,139,138
7/17/2016 20:34,1,60,2,1,0,1,33,0,8.39,0,1918,38,74,6404,139,138
7/17/2016 20:34,1,60,2,1,0,1,34,0,8.39,0,1888,39,74,8771,139,138
7/17/2016 20:34,1,60,1,1,0,1,36,0,8.39,0,1882,39,77,8771,139,138
7/17/2016 20:34,1,60,2,1,0,1,36,0,8.39,0,1862,43,77,8771,139,138
7/17/2016 20:34,1,60,2,1,0,1,36,0,8.39,0,1890,38,74,9962,139,138
7/17/2016 20:34,1,60,2,1,0,1,37,0,8.39,0,1932,42,73,9962,139,138
7/17/2016 20:34,1,60,2,1,0,1,35,0,8.39,0,1983,38,73,10676,139,138
7/17/2016 20:34,1,60,2,1,0,1,32,0,8.39,0,1964,37,70,10676,139,138
7/17/2016 20:34,1,60,2,1,0,1,30,0,8.39,0,1971,33,70,10389,139,138
7/17/2016 20:34,1,60,2,1,0,1,29,0,8.39,0,1932,32,72,10389,139,138
7/17/2016 20:34,1,60,2,1,0,1,31,0,8.39,0,1912,38,73,10389,139,138
7/17/2016 20:34,1,60,2,1,0,1,32,0,8.39,0,1877,35,74,8028,139,138
7/17/2016 20:34,1,60,2,1,0,1,33,0,8.39,0,1858,38,74,8028,139,138
7/17/2016 20:34,1,60,2,1,0,1,37,0,8.39,0,1836,42,77,6486,139,138
7/17/2016 20:34,1,60,2,1,0,1,35,0,8.39,0,1835,41,76,6486,139,138
7/17/2016 20:34,1,60,2,1,0,1,34,0,8.39,0,1847,41,74,8575,139,138
7/17/2016 20:34,1,60,2,1,0,1,33,0,8.39,0,1912,36,72,8575,139,138
7/17/2016 20:34,1,60,2,1,0,1,30,0,8.39,0,1909,37,71,8142,139,138
7/17/2016 20:34,1,60,2,1,0,1,31,0,8.39,0,1922,34,70,7408,139,138
7/17/2016 20:34,1,60,2,1,0,1,29,0,8.39,0,1933,32,69,7408,139,138
7/17/2016 20:35,1,60,2,1,0,1,30,0,8.39,0,1886,33,72,9474,139,138
7/17/2016 20:35,1,60,2,1,0,1,30,0,8.39,0,1878,35,73,9474,139,138
7/17/2016 20:35,1,60,2,1,0,1,32,0,8.39,0,1852,38,76,6138,139,138
7/17/2016 20:35,1,60,2,1,0,1,34,0,8.39,0,1840,38,76,6138,139,138
7/17/2016 20:35,1,60,2,1,0,1,37,0,8.39,0,1839,45,77,7710,139,138
7/17/2016 20:35,1,60,2,1,0,1,33,0,8.39,0,1863,36,74,7710,139,138
7/17/2016 20:35,1,60,2,1,0,1,36,0,8.39,0,1882,39,75,7710,139,138
7/17/2016 20:35,1,60,2,1,0,1,34,0,8.39,0,1913,38,72,9684,139,138
7/17/2016 20:35,1,60,2,1,0,1,33,0,8.39,0,1932,34,71,9684,139,138
7/17/2016 20:35,1,60,2,1,0,1,30,0,8.39,0,1947,32,70,10448,139,138
7/17/2016 20:35,1,60,2,1,0,1,29,0,8.39,0,1912,30,69,10448,139,138
7/17/2016 20:35,1,60,2,1,0,1,32,0,8.39,0,1896,32,72,10701,139,138
7/17/2016 20:35,1,60,2,1,0,1,31,0,8.39,0,1878,38,73,10701,139,138
7/17/2016 20:35,1,60,2,1,0,1,34,0,8.39,0,1871,39,76,10701,139,138
7/17/2016 20:35,1,60,2,1,0,1,34,0,8.39,0,1845,41,74,6000,139,138
7/17/2016 20:35,1,60,2,1,0,1,37,0,8.39,0,1849,43,76,6000,139,138
7/17/2016 20:35,1,60,2,1,0,1,36,0,8.39,0,1861,41,73,7650,139,138
7/17/2016 20:35,1,60,2,1,0,1,34,0,8.39,0,1873,39,74,8481,139,138
7/17/2016 20:35,1,60,2,1,0,1,33,0,8.39,0,1933,37,72,8481,139,138
7/17/2016 20:35,1,60,2,1,0,1,30,0,8.39,0,1924,35,70,10191,139,138
7/17/2016 20:36,1,60,2,1,0,1,30,0,8.39,0,1902,32,70,10191,139,138
7/17/2016 20:36,1,60,2,1,0,1,30,0,8.39,0,1889,32,71,11439,139,138
7/17/2016 20:36,1,60,2,1,0,1,30,0,8.39,0,1851,34,73,11439,139,138
7/17/2016 20:36,1,60,2,1,0,1,32,0,8.39,0,1866,34,74,11224,139,138
7/17/2016 20:36,1,60,2,1,0,1,30,0,8.39,0,1843,38,74,11224,139,138
